,location_id_mean,temperature_2m_max (°F)_mean,temperature_2m_min (°F)_mean,daylight_duration (s)_mean,sunshine_duration (s)_mean,uv_index_max ()_mean,precipitation_sum (inch)_mean,rain_sum (inch)_mean,showers_sum (inch)_mean,snowfall_sum (inch)_mean,precipitation_hours (h)_mean,wind_speed_10m_max (mp/h)_mean,wind_gusts_10m_max (mp/h)_mean,shortwave_radiation_sum (MJ/m²)_mean
0,0,69.66520547945206,50.593972602739726,12.193184558599697,8.229079010654491,5.720547945205479,0.03883287671232877,0.03883287671232877,0.0,0.0,0.6246575342465753,11.474520547945206,18.1413698630137,17.951123287671233
1,1,69.0235616438356,48.929041095890405,12.19899005327245,8.042054368340944,5.339315068493151,0.08061643835616439,0.08061643835616439,0.0,0.0,0.9342465753424658,12.54904109589041,24.016164383561645,16.69427397260274
2,2,71.2372602739726,50.23397260273973,12.192396552511417,8.60813597412481,5.737397260273973,0.04025479452054794,0.04025479452054794,0.0,0.0,0.5835616438356165,11.164657534246576,16.944931506849315,18.45769863013699
3,3,60.209041095890406,42.52712328767123,12.218018196347032,7.3863394824961945,4.536986301369863,0.08,0.08,0.0,0.0,1.2273972602739727,12.08958904109589,23.79123287671233,15.678520547945205
4,4,72.84547945205479,55.62767123287671,12.17916406392694,7.673047191780822,6.161780821917809,0.03612328767123288,0.03612328767123288,0.0,0.0,0.4767123287671233,9.522465753424656,13.85095890410959,17.29545205479452
5,5,84.15369863013699,73.57698630136986,12.146910509893456,10.566993683409438,7.695753424657534,0.01255890410958904,0.0009095890410958903,0.011076712328767124,0.0,0.8,11.92849315068493,25.510684931506848,20.534739726027397
6,6,65.44520547945206,49.69671232876712,12.194032952815832,8.262793622526637,5.672739726027398,0.06265205479452055,0.06265205479452055,0.0,0.0,0.7753424657534247,12.917260273972603,21.287945205479453,17.41191780821918
7,7,83.91589041095891,73.33534246575343,12.146910509893456,10.566993683409438,7.580821917808219,0.01255890410958904,0.0009095890410958903,0.011076712328767124,0.0,0.8,11.92849315068493,25.510684931506848,20.534739726027397
8,8,67.2372602739726,48.77287671232876,12.200137625570777,7.6472498934551,5.06027397260274,0.08274246575342466,0.08274246575342466,0.0,0.0,0.9698630136986301,10.777260273972603,21.545753424657534,16.128
9,9,87.41013698630137,62.257260273972605,12.178656407914763,10.000373287671232,6.5683561643835615,0.01656986301369863,0.01656986301369863,0.0,0.0,0.1863013698630137,9.604383561643836,18.564109589041095,21.589260273972602
10,10,59.95013698630137,39.778082191780825,12.22063101217656,8.234117191780822,5.049315068493151,0.035364383561643835,0.035364383561643835,0.0,0.0,0.7013698630136986,14.492054794520548,25.580000000000002,16.430246575342466
11,11,67.96630136986302,54.7813698630137,12.179153127853882,7.50316601217656,5.92068493150685,0.02965753424657534,0.02965753424657534,0.0,0.0,0.4821917808219178,11.417534246575341,16.241643835616436,16.819260273972603
12,12,58.93287671232877,41.79041095890411,12.22839799086758,7.519284254185693,4.499315068493151,0.05476986301369863,0.05476986301369863,0.0,0.0,1.2794520547945205,11.003013698630136,22.953698630136987,15.076520547945206
13,13,73.85972602739726,55.949041095890415,12.179541240487062,7.68917392694064,6.143287671232877,0.039172602739726024,0.039172602739726024,0.0,0.0,0.4849315068493151,9.588493150684933,14.152328767123288,17.239424657534247
14,14,70.39835616438357,56.65369863013698,12.176082070015221,7.009789368340943,6.195205479452055,0.03650684931506849,0.03650684931506849,0.0,0.0,0.3726027397260274,9.53890410958904,13.177260273972601,16.096328767123286
15,15,54.974520547945204,35.974794520547945,12.239977541856925,7.8285067123287675,4.676849315068493,0.03721369863013699,0.03721369863013699,0.0,0.0,0.8602739726027397,14.314520547945206,25.832876712328765,15.169479452054794
16,16,57.15534246575343,42.3613698630137,12.221112016742769,7.018371255707763,4.3002739726027395,0.12167945205479451,0.12167945205479451,0.0,0.0,1.7808219178082192,12.653150684931505,23.865205479452055,14.512465753424658
17,17,60.709041095890406,46.00547945205479,12.24464805175038,6.27035790715373,4.031917808219179,0.05664931506849315,0.05664931506849315,0.0,0.0,1.6986301369863013,8.865205479452055,17.665479452054793,13.17690410958904
18,18,67.11260273972603,45.210410958904106,12.206949718417047,8.428877343987823,5.2119178082191775,0.044613698630136985,0.044613698630136985,0.0,0.0,0.7342465753424657,13.747945205479452,25.316986301369866,17.160493150684932
19,19,55.153424657534245,34.73561643835617,12.239562404870624,8.283301613394215,4.763150684931507,0.032136986301369866,0.032136986301369866,0.0,0.0,0.7479452054794521,13.830684931506848,24.17808219178082,15.86821917808219
20,20,87.86246575342466,61.309863013698624,12.178087458143073,10.05846207001522,6.604931506849316,0.011824657534246575,0.011824657534246575,0.0,0.0,0.1863013698630137,9.556164383561644,17.94164383561644,21.67912328767123
21,21,75.79506849315068,60.248493150684936,12.176334566210045,8.437519444444444,6.023287671232877,0.18554246575342465,0.18554246575342465,0.0,0.0,1.0356164383561643,12.134520547945206,22.263835616438357,18.014794520547945
22,22,57.40931506849316,41.355616438356165,12.225593744292238,6.85553595129376,4.281232876712329,0.10426849315068493,0.10426849315068493,0.0,0.0,1.7424657534246575,10.804657534246575,22.231232876712326,14.432520547945206
23,23,74.82986301369863,54.99506849315069,12.18074179604262,8.226331955859969,6.072328767123288,0.06508493150684931,0.06508493150684931,0.0,0.0,0.7068493150684931,9.36109589041096,13.275890410958903,18.15117808219178
24,24,75.94054794520548,56.15041095890411,12.179755738203957,7.823912245053273,6.143287671232877,0.04080821917808219,0.04080821917808219,0.0,0.0,0.5095890410958904,9.568493150684931,14.235342465753424,17.62854794520548
