,location_id_mean,temperature_2m_max (°F)_mean,temperature_2m_min (°F)_mean,daylight_duration (s)_mean,sunshine_duration (s)_mean,uv_index_max ()_mean,precipitation_sum (inch)_mean,rain_sum (inch)_mean,showers_sum (inch)_mean,snowfall_sum (inch)_mean,precipitation_hours (h)_mean,wind_speed_10m_max (mp/h)_mean,wind_gusts_10m_max (mp/h)_mean,shortwave_radiation_sum (MJ/m²)_mean
0,0,60.75397260273973,44.60657534246575,12.214273363774735,6.795859452054795,4.436027397260275,0.07862739726027397,0.07862739726027397,0.0,0.0,1.2246575342465753,12.002191780821919,22.93643835616438,14.715150684931507
1,1,60.695068493150686,46.29013698630138,12.21029503805175,7.018550563165906,4.55,0.0767041095890411,0.0767041095890411,0.0,0.0,1.1506849315068493,14.168767123287672,23.789589041095894,15.196657534246574
2,2,79.43945205479453,57.90383561643836,12.17498296803653,8.460265730593608,6.11972602739726,0.10114520547945205,0.10114520547945205,0.0,0.0,0.8328767123287671,9.976986301369863,18.610958904109587,18.0652602739726
3,3,75.77342465753425,55.97260273972603,12.178717549467276,8.26008208523592,5.893561643835617,0.07746849315068494,0.07746849315068494,0.0,0.0,0.8246575342465754,9.355068493150684,19.443835616438356,17.94153424657534
4,4,79.43890410958905,59.63835616438356,12.175493584474886,8.420841476407915,5.972739726027398,0.11532876712328767,0.11532876712328767,0.0,0.0,0.8767123287671232,10.19095890410959,19.735890410958906,18.279479452054794
5,5,70.06383561643835,48.711780821917806,12.196711225266363,7.70670101978691,4.964520547945205,0.05393150684931507,0.05393150684931507,0.0,0.0,0.8547945205479452,9.193972602739727,19.692328767123286,16.307479452054796
6,6,61.05178082191781,45.355342465753424,12.211117572298326,7.001255319634703,4.567671232876712,0.08113698630136985,0.08113698630136985,0.0,0.0,1.1095890410958904,10.682191780821919,22.556438356164385,15.144191780821918
7,7,79.8054794520548,58.69534246575342,12.174757207001521,8.494609010654491,6.089315068493151,0.11846027397260274,0.11846027397260274,0.0,0.0,0.8328767123287671,10.466027397260273,20.34904109589041,18.216739726027395
8,8,79.75945205479452,61.672602739726024,12.169923409436835,8.49895809741248,6.323972602739726,0.08468767123287671,0.08468767123287671,0.0,0.0,0.863013698630137,10.693972602739727,19.410684931506847,18.523753424657535
9,9,63.204109589041096,45.17561643835616,12.208369436834095,6.941289657534247,4.609315068493151,0.08225479452054794,0.08225479452054794,0.0,0.0,1.2465753424657535,11.232054794520547,22.882465753424658,15.121561643835616
10,10,76.34657534246575,63.3772602739726,12.168931567732116,8.423673432267885,6.426849315068494,0.11967123287671233,0.11967123287671233,0.0,0.0,0.7424657534246575,12.89835616438356,22.148767123287673,18.73558904109589
11,11,77.10520547945205,56.492602739726024,12.178509741248096,8.294601704718417,5.873972602739726,0.0958054794520548,0.0958054794520548,0.0,0.0,0.9095890410958904,9.344931506849315,18.41315068493151,17.88123287671233
12,12,73.48876712328767,55.67095890410959,12.184238592085237,8.106376484018265,5.478082191780822,0.11575890410958904,0.11575890410958904,0.0,0.0,0.8712328767123287,10.473424657534247,20.773150684931505,17.47868493150685
13,13,81.5123287671233,63.470958904109594,12.169114528158296,8.650352290715373,6.384246575342465,0.09284657534246576,0.09284657534246576,0.0,0.0,0.6493150684931507,10.509315068493152,20.228219178082192,18.407753424657535
14,14,75.91589041095891,54.529315068493155,12.185057671232876,8.298303493150685,5.4286301369863015,0.10576438356164383,0.10576438356164383,0.0,0.0,0.9808219178082191,10.494520547945205,19.656986301369862,17.81158904109589
15,15,75.22328767123288,54.64931506849315,12.183873622526637,8.207410304414003,5.667123287671233,0.12065205479452056,0.12065205479452056,0.0,0.0,0.8821917808219178,9.862739726027398,20.28739726027397,17.71849315068493
16,16,78.15150684931507,57.236438356164385,12.175303097412481,8.295164459665145,6.07972602739726,0.08715342465753424,0.08715342465753424,0.0,0.0,0.8356164383561644,8.947945205479453,18.11123287671233,18.09421917808219
17,17,85.0641095890411,63.5172602739726,12.16621615677321,8.269279391171994,6.38027397260274,0.044624657534246576,0.044624657534246576,0.0,0.0,0.5561643835616439,10.936712328767124,22.026849315068493,18.585534246575342
18,18,69.54794520547945,50.18849315068493,12.197517397260274,7.81683797564688,5.183835616438356,0.09063561643835617,0.09063561643835617,0.0,0.0,0.9013698630136986,10.904109589041095,21.86328767123288,16.64621917808219
19,19,78.0013698630137,51.401095890410964,12.178897678843228,9.487792374429224,6.405068493150685,0.03407945205479452,0.03407945205479452,0.0,0.0,0.410958904109589,16.073424657534247,27.15835616438356,20.83
20,20,70.0041095890411,49.54219178082192,12.196377526636226,7.29897705479452,4.934794520547945,0.08933698630136985,0.08933698630136985,0.0,0.0,0.8986301369863013,9.111232876712329,19.726575342465754,16.014520547945207
